dpto,nomdpto,barrio,NOM_BARRIO,estrato,nper,sexo,edad,ascendencia,primaria,primaria_finalizado,educacionMedia,educacionMedia_finalizado,educacionTecnica,educacionTecnica_finalizado,magisterio,magisterio_Finalizado,universisdad,universidad_Finalizado,noUniversitario,noUniversitario_finalizado,postgrado,postgrado_finalizado,actividad_economica,total_ingresos
1,MONTEVIDEO,53,Conciliacion,2,3,1,3,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,46,Larranaga,3,1,2,95,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,10,20000
1,MONTEVIDEO,62,Manga,1,1,1,44,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,22191
1,MONTEVIDEO,62,Manga,1,2,2,43,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,29301
1,MONTEVIDEO,62,Manga,1,3,1,23,3,2,2,3,0,3,0,3,0,3,0,3,0,3,0,9,0
1,MONTEVIDEO,62,Manga,1,4,2,19,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,10100
1,MONTEVIDEO,62,Manga,1,5,2,17,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,6,0
1,MONTEVIDEO,62,Manga,1,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,MONTEVIDEO,17,Maronas Parque Guarani,2,1,2,30,3,2,1,2,1,3,0,1,2,2,2,3,0,3,0,2,19727
1,MONTEVIDEO,53,Conciliacion,2,1,2,39,3,2,1,2,2,3,0,3,0,3,0,3,0,3,0,2,20763
1,MONTEVIDEO,53,Conciliacion,2,2,2,11,1,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,53,Conciliacion,2,3,1,10,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,23,Union,4,1,2,60,3,2,1,2,1,2,1,3,0,3,0,3,0,3,0,2,23732
1,MONTEVIDEO,23,Union,4,2,1,69,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,10,7200
1,MONTEVIDEO,2,Centro,4,1,1,62,3,2,1,2,1,3,0,3,0,2,1,3,0,3,0,2,72810
1,MONTEVIDEO,2,Centro,4,2,2,57,3,2,1,2,1,3,0,2,2,3,0,3,0,3,0,2,46727
1,MONTEVIDEO,55,Nuevo Paris,2,1,1,33,4,2,1,3,0,3,0,3,0,3,0,3,0,3,0,4,7000
1,MONTEVIDEO,55,Nuevo Paris,2,2,2,25,3,2,1,3,0,3,0,3,0,3,0,3,0,3,0,6,1953
1,MONTEVIDEO,55,Nuevo Paris,2,3,2,9,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,55,Nuevo Paris,2,4,1,6,4,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,55,Nuevo Paris,2,5,2,4,4,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,13,Punta Gorda,5,1,1,42,3,2,1,2,1,3,0,3,0,2,1,3,0,3,0,2,93810
1,MONTEVIDEO,13,Punta Gorda,5,2,2,39,3,2,1,2,1,3,0,3,0,2,1,3,0,2,1,2,36727
1,MONTEVIDEO,13,Punta Gorda,5,3,1,8,3,1,2,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,13,Punta Gorda,5,4,2,4,3,3,0,3,0,3,0,3,0,3,0,3,0,3,0,1,0
1,MONTEVIDEO,31,Piedras Blancas,1,1,2,50,1,2,1,2,2,3,0,3,0,3,0,3,0,3,0,10,9200
